,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,25,25,25,25,25,25,25,25,25,25,25
Regularized.training.gain,3.7858,3.8566,4.044,3.7976,3.8927,3.9003,3.6844,3.9074,4.1513,3.6543,3.8674
Unregularized.training.gain,4.753,5.0142,5.4453,5.0494,4.8862,5.1059,4.7742,4.9929,5.554,4.6259,5.0201
Iterations,860,920,980,820,620,800,900,1000,1140,740,878
Training.AUC,0.9944,0.996,0.9951,0.9957,0.995,0.9964,0.9948,0.9963,0.9955,0.9942,0.9953
X.Test.samples,6,6,6,6,6,6,6,6,6,6,6
Test.gain,3.7415,3.9983,3.0555,4.0825,3.5215,3.8322,4.6418,3.7297,2.3786,4.6691,3.7651
Test.AUC,0.9773,0.989,0.9584,0.9754,0.9777,0.9873,0.9969,0.9862,0.9657,0.9879,0.9802
AUC.Standard.Deviation,0.0153,0.0065,0.0235,0.0148,0.0126,0.0065,0.0013,0.0071,0.0152,0.01,0.0113
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,1.9882,1.6924,1.6998,1.2385,1.0846,1.4469,1.3059,1.0999,1.05,1.6298,1.4236
closed_shrubland.contribution,0,0.5126,0.1162,0.5088,0.0967,0.4379,0.4533,0.1068,0.4955,0.0698,0.2798
croplands.contribution,4.5294,4.235,3.2418,2.6299,3.9745,3.5719,2.4254,5.14,4.1412,4.3457,3.8235
deciduous_broadleaf_forest.contribution,1.3014,1.5655,2.1858,1.3661,1.3002,0.9956,1.0284,1.0667,1.37,1.1902,1.337
deciduous_needleleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,0.5409,0.5852,0.539,0.9616,0.8081,0.8581,0.9858,1.1418,1.5312,1.3933,0.9345
grasslands.contribution,42.0646,38.2409,36.4378,36.0283,33.7852,33.5187,33.2994,32.7856,30.6758,31.1252,34.7961
mixed_forests.contribution,0.5154,1.0216,0.0777,0,0.7972,2.9537,0.9834,1.2921,0.044,0.6006,0.8286
open_shrublands.contribution,5.1725,5.7118,6.416,6.4513,6.4628,6.2673,7.3675,6.8197,7.3176,7.4734,6.546
precipitation_of_wettest_quarter.1.contribution,7.1112,7.3693,8.4118,7.7496,14.1844,12.991,13.5923,15.5993,14.1734,17.9386,11.9121
precipitation_of_wettest_quarter.2.contribution,16.5319,14.4169,17.5481,12.2343,12.7541,14.8572,14.1541,11.1436,16.9408,15.632,14.6213
precipitation_of_wettest_quarter.3.contribution,14.4837,16.4603,13.7517,22.2586,17.678,14.3793,16.8065,17.4972,13.1927,12.1506,15.8659
precipitation_of_wettest_quarter.4.contribution,3.4801,4.6199,4.8633,4.5396,3.4843,4.3814,3.6234,3.0452,4.505,2.8051,3.9347
savannas.contribution,0,0.0356,0,0.0147,0,0.0233,0.0103,0,0.0057,0,0.009
snow_ice.contribution,0.0574,0.3757,1.0208,0.3358,0.1605,0.7547,0.1719,0.051,0.6586,0.1269,0.3713
urban_areas.contribution,0.0017,0.1187,0.2863,0.1831,0.1831,0.1218,0.4699,0.2908,0.6072,0.3341,0.2597
wetlands.contribution,0.5387,0.8935,0.7141,0.993,0.6825,0.744,0.763,0.6874,0.6078,0.8232,0.7447
woody_savannas.contribution,1.683,2.1451,2.6898,2.5068,2.5636,1.6972,2.5596,2.2328,2.6836,2.3615,2.3123
barren_vegetation.permutation.importance,0.3551,0.2411,0,0.4714,1.6058,0,1.5967,0.4881,0,0.373,0.5131
closed_shrubland.permutation.importance,0,0.7395,0.0333,0.5011,0.0883,0.4626,0.4862,0.3056,0.7533,0.033,0.3403
croplands.permutation.importance,1.2614,0.4278,0.6577,0.7108,0.5216,0.7753,0.3231,1.5306,1.2053,0.7055,0.8119
deciduous_broadleaf_forest.permutation.importance,0.0956,0.1999,0.421,0.8328,0.2574,0.1498,0.2604,0.2773,0.3377,0.7512,0.3583
deciduous_needleleaf_forest.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
evergreen_broadleaf_forest.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.permutation.importance,3.9394,0.1529,0.0166,0.4446,0.0074,0.0705,0.3623,2.2931,0,0.1523,0.7439
grasslands.permutation.importance,23.3035,27.8764,26.9912,33.6186,19.9093,22.8563,28.318,26.7764,34.9436,27.5219,27.2115
