,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,235,235,235,235,235,235,235,235,235,235,235
Regularized.training.gain,7.1896,14208.4636,1.988,2.1051,2.0694,2.8903,2.0527,3284711.8063,1.9644,2.0073,329894.2537
Unregularized.training.gain,57.554,67552.12,2.3117,2.5641,2.5208,18.8618,2.518,16136160,2.3072,2.3537,1620380
Iterations,10000,7320,1740,2360,3000,10000,2380,5020,1700,1940,4546
Training.AUC,0.9405,0.9206,0.9434,0.9392,0.9381,0.9357,0.9415,0.5083,0.9425,0.9434,0.8953
X.Test.samples,58,58,58,58,58,58,58,58,58,58,58
Test.gain,-76.6746,-122535.4,2.1324,1.7586,1.903,-8.3693,1.9293,-16181460,2.3279,2.0155,-1630407
Test.AUC,0.9087,0.855,0.9238,0.9241,0.9397,0.9169,0.9326,0.4998,0.9322,0.921,0.8754
AUC.Standard.Deviation,0.0207,0.0325,0.0115,0.0117,0.0095,0.0139,0.0149,1e-04,0.0106,0.013,0.0138
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,19.2534,34.4695,0.0016,0.003,0.0026,0.0049,0.0029,0.6645,0.0022,0.0023,5.4407
annual_precipitation.contribution,7.6592,0.003,0.0025,0.0029,0.0027,0.0038,0.0033,0,0.0035,0.0024,0.7683
barren_vegetation.contribution,1.245,9e-04,0.0024,0.002,0.0027,0.0012,0.0019,0,0.0014,0.0026,0.126
closed_shrubland.contribution,0.0979,1e-04,1e-04,1e-04,1e-04,2e-04,2e-04,0,2e-04,2e-04,0.0099
croplands.contribution,5.4464,6.9823,10.6559,10.6557,10.6554,10.655,10.6554,0.2412,16.9058,16.9058,9.9759
deciduous_broadleaf_forest.contribution,0.5696,3e-04,4e-04,6e-04,5e-04,7e-04,8e-04,0.3616,9e-04,9e-04,0.0936
deciduous_needleleaf_forest.contribution,0,0,0,0,0,0,0,0.0065,0.1999,0.1999,0.0406
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,1.0597,6.9817,10.653,10.6527,10.6524,10.6515,10.6515,0.053,8.8999,8.8996,7.9155
grasslands.contribution,1.2797,0.0015,0.0022,0.0026,0.0027,0.0031,0.0039,0.0136,0.0041,0.0042,0.1318
mixed_forests.contribution,5.2894,0.0043,0.0033,0.0034,0.0036,0.0041,0.0042,0.2706,3.8979,3.8979,1.3379
open_shrublands.contribution,1.3866,0.0013,0.0021,0.0024,0.0029,0.0035,0.0037,1.8137,4.2972,4.2975,1.1811
precipitation_seasonality.contribution,4.8846,0.0022,0.0037,0.003,0.0029,0.0029,0.003,95.8126,0.0033,0.0031,10.0721
savannas.contribution,0.0697,1e-04,0,0,0,0,0,0,0,0,0.007
snow_ice.contribution,0,0,0,0,0,0,0,0,0,0,0
temperature_seasonality.contribution,2.9397,0.0014,0.0018,0.0025,0.003,0.0033,0.0035,7e-04,0.004,0.0041,0.2964
urban_areas.contribution,16.815,25.7732,39.3356,39.3354,39.3358,39.3339,39.3353,0.1918,32.8925,32.8933,30.5242
wetlands.contribution,30.6808,25.7767,39.333,39.3312,39.33,39.3284,39.3267,0.4851,32.8827,32.8817,31.9356
woody_savannas.contribution,1.3234,0.0015,0.0022,0.0027,0.0026,0.0035,0.0037,0.0852,0.0043,0.0044,0.1433
annual_mean_temperature.permutation.importance,42.388,35.5116,29.6482,35.9187,33.3787,44.3381,21.1201,14.3891,31.7655,35.821,32.4279
annual_precipitation.permutation.importance,17.1848,38.5592,11.2398,19.8181,17.0259,17.5449,28.7935,0,16.7194,10.8009,17.7687
barren_vegetation.permutation.importance,2.1134,1.2468,0,3.0154,0,1.6656,3.9653,0,4.118,0,1.6124
closed_shrubland.permutation.importance,0.004,0.009,0,0.0018,0.0176,0.0084,0.0089,0,0.0046,0,0.0054
croplands.permutation.importance,2.4777,0,13.8881,3.387,4.5387,1.9035,5.4136,32.9733,5.4045,6.5625,7.6549
deciduous_broadleaf_forest.permutation.importance,0.6558,0.1029,0.5187,0.7817,0.48,0.6017,1.3051,0.338,0.4827,0.0983,0.5365
deciduous_needleleaf_forest.permutation.importance,0.0029,0,0.0263,0,0.0417,0,0.0041,0.338,0.005,0.0324,0.045
evergreen_broadleaf_forest.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.permutation.importance,2.3474,3.0156,1.2305,2.3571,1.9667,3.1447,1.5159,0.338,1.6723,0.8146,1.8403
grasslands.permutation.importance,4.1445,3.7413,3.5046,3.1447,7.8316,5.6935,8.6191,0.6817,10.0946,11.5531,5.9009
mixed_forests.permutation.importance,2.7233,2.127,2.7046,1.559,1.94,1.2163,2.3268,0,1.086,1.4948,1.7178
open_shrublands.permutation.importance,1.9393,1.4231,3.6246,2.3272,2.6222,2.1474,1.8941,0,2.356,3.1113,2.1445
precipitation_seasonality.permutation.importance,9.0959,6.3596,14.6642,15.4479,17.3246,8.5999,13.6146,0,12.7817,13.2771,11.1166
savannas.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
snow_ice.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
temperature_seasonality.permutation.importance,6.726,3.5046,7.4617,5.209,5.4015,5.203,5.7262,0.3437,6.221,7.4914,5.3288
urban_areas.permutation.importance,5.0859,2.5083,8.941,4.8928,6.2324,5.1015,4.5057,33.504,5.5613,7.3737,8.3707
wetlands.permutation.importance,1.9204,0.9931,0.1565,0.2088,0.1793,0.6712,0.2158,16.7506,0.1243,0.1247,2.1345
woody_savannas.permutation.importance,1.1906,0.8979,2.3911,1.9308,1.019,2.1602,0.9711,0.3437,1.6032,1.4442,1.3952
Training.gain.without.annual_mean_temperature,1.9706,7.6352,1.9113,2.019,2.003,2.0125,1.9929,49.3878,1.8944,1.9289,7.2756
Training.gain.without.annual_precipitation,6.8056,268949.6422,1.9586,2.0558,2.03,3.439,2.0051,485.2752,1.9243,1.9642,26945.71
Training.gain.without.barren_vegetation,6.6623,621.1814,1.9879,2.1006,2.0678,3.2543,2.0484,666.7454,1.9634,2.0071,131.0019
Training.gain.without.closed_shrubland,17.6061,4547713000,1.9878,2.1043,2.0679,2.909,2.0518,13600.92,1.9637,2.0075,454772600
Training.gain.without.croplands,5.5986,3.258,1.9524,2.0414,2.0192,3.2034,2.0156,54.0792,1.9278,1.9664,7.8062
Training.gain.without.deciduous_broadleaf_forest,5.0945,34394.7722,1.9643,2.0733,2.0388,3.1701,2.0079,96.948,1.9436,2.0037,3451.2016
Training.gain.without.deciduous_needleleaf_forest,5.6267,19718.1007,1.9881,2.1048,2.0681,2.9674,2.0523,115763.1277,1.9649,2.0073,13550.2008
Training.gain.without.evergreen_broadleaf_forest,7.0616,1040354.0112,1.9877,2.1048,2.0681,2.8275,2.0526,173.6066,1.966,2.0076,104054.9694
Training.gain.without.evergreen_needleleaf_forest,6.2824,7.6993,1.9509,2.0496,2.0087,3.4475,2.0048,395.2185,1.9268,1.9872,42.4576
Training.gain.without.grasslands,6.9333,2923.8608,1.9667,2.0675,2.0287,3.1389,2.0104,38.5439,1.9308,1.9696,298.4451
Training.gain.without.mixed_forests,9.9491,262.4618,1.9691,2.0779,2.0452,12.0055,2.017,194.8584,1.9476,1.988,49.132
Training.gain.without.open_shrublands,6.9648,7338.2936,1.9377,2.0457,2.0018,3.5556,1.9967,7456680.5941,1.9107,1.9378,746404.1239
Training.gain.without.precipitation_seasonality,6.4521,1094.3939,1.7642,1.8623,1.8254,3.3512,1.8249,28801.0116,1.7334,1.788,2991.6007
Training.gain.without.savannas,6.1932,3562718.5774,1.9881,2.1055,2.0694,2.9543,2.0524,112.7737,1.9661,2.007,356285.2687
Training.gain.without.snow_ice,5.7707,675.2195,1.9878,2.1057,2.0669,5.995,2.0526,438.247,1.9657,2.0072,113.7418
Training.gain.without.temperature_seasonality,1774.109,18107410,1.8381,1.9639,1.9518,3.3206,1.9429,3563765,1.8555,1.8804,2167296
Training.gain.without.urban_areas,1.8463,1.8818,1.8717,1.8859,1.8203,1.8346,1.8176,1.8772,1.8514,1.8877,1.8574
Training.gain.without.wetlands,1.9044,1.9565,1.9503,1.9494,1.9196,1.931,1.9092,1.9579,1.9217,1.9652,1.9365
Training.gain.without.woody_savannas,6.2045,5586.7788,1.9327,2.013,2.0121,3.0651,1.9824,2340.2552,1.899,1.9441,794.8087
Training.gain.with.only.annual_mean_temperature,0.6446,0.6506,0.6625,0.6306,0.6565,0.632,0.6449,0.666,0.6705,0.6576,0.6516
Training.gain.with.only.annual_precipitation,0.6336,0.6226,0.6368,0.6218,0.6357,0.627,0.6476,0.6249,0.639,0.6382,0.6327
Training.gain.with.only.barren_vegetation,0.3865,0.3865,0.4087,0.3865,0.4087,0.3865,0.3865,0.4087,0.3865,0.4087,0.3954
Training.gain.with.only.closed_shrubland,0,0,0,0,0,0,0,0,0,0,0
Training.gain.with.only.croplands,0.5,0.5235,0.4796,0.525,0.4957,0.4785,0.5313,0.5,0.4673,0.4875,0.4988
Training.gain.with.only.deciduous_broadleaf_forest,0.0012,0,2e-04,0.0014,3e-04,2e-04,2e-04,2e-04,2e-04,0,4e-04
Training.gain.with.only.deciduous_needleleaf_forest,1e-04,0.0024,1e-04,1e-04,1e-04,0.0024,1e-04,0.0024,1e-04,1e-04,8e-04
Training.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Training.gain.with.only.evergreen_needleleaf_forest,0.0213,0.02,0.0124,0.0147,0.0169,0.0148,0.0202,0.0201,0.0133,0.0098,0.0163
Training.gain.with.only.grasslands,0.1247,0.1221,0.122,0.1252,0.1209,0.1308,0.1393,0.1207,0.1297,0.1238,0.1259
Training.gain.with.only.mixed_forests,0.1016,0.094,0.0734,0.1109,0.0971,0.0931,0.1018,0.0731,0.0979,0.0749,0.0918
Training.gain.with.only.open_shrublands,0.021,0.0315,0.0175,0.0316,0.035,0.0243,0.0271,0.0235,0.0271,0.023,0.0262
Training.gain.with.only.precipitation_seasonality,0.4756,0.4994,0.5001,0.5017,0.4983,0.4833,0.4931,0.4891,0.5164,0.5301,0.4987
Training.gain.with.only.savannas,0.0023,0.0074,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0028
Training.gain.with.only.snow_ice,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053
Training.gain.with.only.temperature_seasonality,0.1568,0.1643,0.1787,0.164,0.1863,0.1451,0.1805,0.1849,0.1789,0.1538,0.1693
Training.gain.with.only.urban_areas,0.3817,0.347,0.3828,0.3443,0.3784,0.3895,0.3517,0.3902,0.3382,0.4032,0.3707
Training.gain.with.only.wetlands,0.0078,0.0063,0.0078,0.0061,0.0061,0.0063,0.0061,0.013,0.0065,0.0065,0.0073
Training.gain.with.only.woody_savannas,0.0933,0.1128,0.0985,0.1369,0.0796,0.0957,0.0911,0.1113,0.116,0.0942,0.1029
Test.gain.without.annual_mean_temperature,0.8033,-90.5141,2.0314,1.6772,1.7979,1.5268,1.7675,-288.4445,2.2102,1.9533,-36.5191
Test.gain.without.annual_precipitation,-72.1149,-2328926.2696,2.0395,1.6715,1.7969,-15.8834,1.8643,-2215.2775,2.268,1.9964,-233121.7909
Test.gain.without.barren_vegetation,-68.7054,-5342.2014,2.1398,1.7654,1.9045,-12.9297,1.9352,-3070.957,2.3379,2.0139,-848.2697
Test.gain.without.closed_shrubland,-236.5429,-39212780000,2.1289,1.7509,1.9008,-8.6402,1.9265,-58552.94,2.3311,2.0123,-3921283000
Test.gain.without.croplands,-53.2458,-13.1693,2.186,1.8575,1.9453,-12.8361,1.8954,-238.777,2.2959,2.0426,-30.5805
Test.gain.without.deciduous_broadleaf_forest,-45.0684,-296682.4487,2.1185,1.8016,1.8967,-12.319,2.0651,-423.5061,2.311,2.0048,-29715.1145
Test.gain.without.deciduous_needleleaf_forest,-52.8834,-169312.466,2.1301,1.7546,1.9033,-9.3021,1.9294,-593782.8962,2.3309,2.0193,-76314.548
Test.gain.without.evergreen_broadleaf_forest,-74.7676,-8980772.9914,2.1339,1.7546,1.9007,-7.5504,1.9306,-756.0145,2.3375,2.0138,-898159.9253
Test.gain.without.evergreen_needleleaf_forest,-67.3395,-68.4593,2.0966,1.7512,1.9017,-15.9927,1.9669,-1827.5787,2.2161,1.9504,-196.7487
Test.gain.without.grasslands,-73.779,-24824.9091,2.0791,1.7368,1.8861,-11.7883,1.9273,-166.115,2.2779,2.008,-2506.4676
Test.gain.without.mixed_forests,-129.5235,-2245.8746,2.1206,1.7502,1.8697,-122.4986,2.0297,-1049.6694,2.2717,1.9788,-353.5545
Test.gain.without.open_shrublands,-74.2789,-62442.55,2.1216,1.7467,1.9369,-17.4158,1.8898,-33344470,2.2609,2.0293,-3340699
Test.gain.without.precipitation_seasonality,-69.2755,-9390.0483,1.9219,1.6122,1.7179,-17.2159,1.6475,-122092.4543,2.1222,1.8145,-13155.8158
Test.gain.without.savannas,-61.7858,-35433220,2.1321,1.7532,1.9078,-9.1841,1.9257,-489.1374,2.3368,2.0177,-3543376
Test.gain.without.snow_ice,-54.8391,-5717.8928,2.1254,1.7545,1.9051,-47.1374,1.9316,-1971.9536,2.3344,2.0166,-777.9755
Test.gain.without.temperature_seasonality,-27101.07,-155851000,2.0503,1.6506,1.6914,-15.3281,1.695,-16654850,2.102,1.8135,-17253300
Test.gain.without.urban_areas,1.8328,1.6004,1.8258,1.7014,1.9569,1.7937,1.9493,1.757,1.9213,1.6657,1.8004
Test.gain.without.wetlands,1.9288,1.6749,1.8218,1.8001,1.9307,1.7643,1.9316,1.7697,1.9953,1.697,1.8314
Test.gain.without.woody_savannas,-62.7214,-48202.5865,2.0709,1.7912,1.8468,-11.6517,1.8751,-10016.9627,2.2609,1.9464,-5828.2131
