,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,576,576,576,576,576,576,576,576,576,576,576
Regularized.training.gain,2.8421,2.7606,2.817,2.7774,2.8319,2.8447,2.8754,2.7588,2.796,2.8158,2.812
Unregularized.training.gain,3.219,3.0844,3.2326,3.1103,3.2307,3.2784,3.3799,3.1294,3.1805,3.273,3.2118
Iterations,2480,2060,2240,2220,2240,2560,2600,2600,1980,2360,2334
Training.AUC,0.9714,0.9704,0.9712,0.9711,0.9711,0.9687,0.9709,0.9718,0.9712,0.97,0.9708
X.Test.samples,144,144,144,144,144,144,144,144,144,144,144
Test.gain,2.871,3.1103,2.8783,3.1069,2.8712,2.8901,2.8614,3.1677,3.0427,3.102,2.9902
Test.AUC,0.9645,0.9741,0.9631,0.9693,0.96,0.9622,0.9547,0.9649,0.966,0.9625,0.9641
AUC.Standard.Deviation,0.0054,0.0033,0.0059,0.0044,0.0059,0.0059,0.0073,0.006,0.0058,0.0065,0.0056
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,13.8995,17.1644,14.3289,14.1626,14.4412,14.9795,13.0278,14.9651,13.909,14.2731,14.5151
annual_precipitation.contribution,21.9675,15.6918,15.5853,15.7087,14.7603,14.4254,12.1931,13.016,15.8009,11.7588,15.0908
barren_vegetation.contribution,0.0023,0,0.0013,0,0,0.0089,0.0085,0.1125,0.1057,0.1017,0.0341
closed_shrubland.contribution,0.05,0.0285,0.0248,0.0251,0.0267,0.0252,0.0313,0.0217,0.0157,0.025,0.0274
croplands.contribution,0.5106,0.4866,0.4195,0.648,0.7836,0.7932,0.7648,0.9742,1.0762,1.1557,0.7612
deciduous_broadleaf_forest.contribution,0.4085,0.399,0.4789,0.4243,0.5495,0.5036,0.6541,0.5544,0.6513,0.6923,0.5316
deciduous_needleleaf_forest.contribution,0.1058,0.0199,0.0396,0.158,0.1257,0.1383,0.1234,0.1552,0.1809,0.1526,0.1199
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,14.7626,15.5084,13.9166,13.1054,10.6907,12.4256,11.6737,11.2675,10.5547,10.3988,12.4304
grasslands.contribution,1.7299,2.7484,3.1417,4.2591,5.0555,5.5963,6.2141,6.3344,6.7715,7.2642,4.9115
mixed_forests.contribution,21.5906,20.6241,20.2902,19.5654,20.9091,19.8438,21.6976,21.1284,18.4941,20.5949,20.4738
open_shrublands.contribution,0.8725,0.848,0.8081,0.7299,0.8164,0.8037,0.9474,0.8537,0.782,0.9042,0.8366
