,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,123,123,123,123,123,123,123,123,123,123,123
Regularized.training.gain,2.5081,2.4963,2.7289,3.3957,2.3293,2.7244,2.7671,2.9927,2.5953,2.3713,2.6909
Unregularized.training.gain,3.1273,3.5083,4.1305,8.1949,2.9229,4.4302,4.3923,5.8625,3.8955,3.0874,4.3552
Iterations,3380,2840,4760,10000,3140,4040,4940,5720,4100,3120,4604
Training.AUC,0.9713,0.9641,0.9693,0.9357,0.9663,0.9563,0.9529,0.9433,0.953,0.9636,0.9576
X.Test.samples,30,30,30,30,30,30,30,30,30,30,30
Test.gain,1.9116,2.8761,1.9757,-2.18,3.1747,2.1581,1.5233,0.9545,3.0737,2.9867,1.8454
Test.AUC,0.9063,0.9378,0.8799,0.8571,0.9562,0.9059,0.896,0.9109,0.954,0.945,0.9149
AUC.Standard.Deviation,0.0203,0.0154,0.0401,0.0315,0.0117,0.0249,0.0318,0.029,0.0102,0.0152,0.023
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,0.3988,1.5647,1.9571,3.1511,4.4967,5.883,5.2634,6.7883,7.6952,7.9266,4.5125
closed_shrubland.contribution,2e-04,0,0.0068,0.0371,0.0041,0.0104,0.0012,0.0044,0.0056,1e-04,0.007
croplands.contribution,8.8776,7.6155,10.0634,8.9088,6.1284,6.8927,8.1267,5.9167,7.3209,6.4537,7.6304
deciduous_broadleaf_forest.contribution,3.8643,2.8014,3.5777,3.4162,2.9945,3.2273,3.4396,2.846,2.9265,2.9956,3.2089
deciduous_needleleaf_forest.contribution,0.7316,2.7822,2.8481,5.7189,4.034,4.9209,5.0125,7.0271,5.3149,5.0338,4.3424
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,1.5461,3.2306,3.9083,4.0382,4.182,3.9458,4.0154,4.4958,4.4151,4.4131,3.819
grasslands.contribution,4.4511,5.3756,6.5234,5.6338,5.7065,6.283,7.2794,7.4869,7.9009,8.2585,6.4899
mixed_forests.contribution,36.544,33.8351,27.8572,26.9474,26.3145,24.794,21.8298,22.1291,19.8223,19.5162,25.959
open_shrublands.contribution,3.3414,3.7445,1.6177,1.9552,2.2947,3.1782,1.1277,2.3792,1.7635,1.976,2.3378
precipitation_of_wettest_quarter.1.contribution,9.4195,7.3817,7.0614,4.1019,3.1158,2.8046,4.5188,2.0342,3.274,1.9321,4.5644
precipitation_of_wettest_quarter.2.contribution,5.1257,3.9676,5.5649,4.2862,6.5574,5.097,5.5518,5.7645,6.7065,7.4284,5.605
precipitation_of_wettest_quarter.3.contribution,1.4477,1.8345,1.9139,2.1143,1.9944,1.7478,1.4339,1.4469,1.6016,1.3728,1.6908
precipitation_of_wettest_quarter.4.contribution,4.3029,4.2103,4.0156,3.6741,3.714,3.7445,3.1258,2.892,2.5419,2.7353,3.4956
savannas.contribution,0,0.3639,0.6675,0.9754,0.9938,1.1091,1.1682,1.1051,1.1301,1.136,0.8649
snow_ice.contribution,0.1143,0.4407,0.5724,0.5537,0.7656,0.6992,0.6849,0.6727,0.7003,0.6732,0.5877
urban_areas.contribution,17.4399,17.6298,16.0858,18.6355,20.6519,19.0464,20.7108,20.0204,19.6449,20.5062,19.0372
wetlands.contribution,0.6952,0.7276,2.6893,2.9895,3.1219,3.4863,3.426,3.6068,3.8174,3.8128,2.8373
woody_savannas.contribution,1.6997,2.4941,3.0696,2.8628,2.9296,3.1298,3.284,3.3837,3.4185,3.8298,3.0102
barren_vegetation.permutation.importance,2.6288,8.9444,3.9544,7.3223,2.8962,6.6361,3.4386,5.8803,4.8568,11.5447,5.8103
closed_shrubland.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
croplands.permutation.importance,5.0953,4.4598,2.9906,2.0233,6.7769,3.5023,2.4677,5.5631,2.9434,3.5539,3.9376
deciduous_broadleaf_forest.permutation.importance,1.6341,1.6241,1.332,0.7851,1.1363,1.3167,1.3162,0.5538,1.4335,1.4231,1.2555
deciduous_needleleaf_forest.permutation.importance,0.8686,5.7107,3.0135,4.0069,4.6536,3.0418,2.508,5.4073,7.0771,2.4168,3.8704
evergreen_broadleaf_forest.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.permutation.importance,1.5905,2.4452,1.6789,1.8769,3.0131,2.2876,1.9431,1.9727,2.2622,1.1616,2.0232
grasslands.permutation.importance,20.2016,16.2772,29.5387,23.4317,25.9514,18.8971,26.6869,4.7523,19.9196,4.5735,19.023
mixed_forests.permutation.importance,7.7355,10.3471,4.2626,25.3303,3.1931,14.0088,16.7476,21.4058,9.284,15.8173,12.8132
open_shrublands.permutation.importance,1.4726,5.3001,3.7598,2.7683,6.0031,12.4324,2.4186,4.0689,4.5793,4.4555,4.7259
precipitation_of_wettest_quarter.1.permutation.importance,28.0855,15.2115,18.1483,15.3608,23.8848,11.9561,21.8006,16.8492,15.9446,16.1874,18.3429
precipitation_of_wettest_quarter.2.permutation.importance,5.1086,2.3658,3.2859,1.3841,4.8027,2.7731,2.3258,2.7984,3.4248,3.6854,3.1955
precipitation_of_wettest_quarter.3.permutation.importance,1.3695,1.3947,1.9942,1.151,2.1241,1.7791,0.982,1.8563,2.1094,3.8232,1.8584
precipitation_of_wettest_quarter.4.permutation.importance,4.02,9.2234,5.818,1.7575,3.4812,4.0869,5.4621,12.5375,8.5141,10.6304,6.5531
savannas.permutation.importance,0,4.003,2.9674,2.4656,0,3.0762,0.0511,2.9127,3.2204,3.7878,2.2484
snow_ice.permutation.importance,0.6036,0.2547,0.274,0.2873,0.1796,0.1238,0.052,0.0465,0.1428,0.1469,0.2111
urban_areas.permutation.importance,6.5822,4.1069,6.0356,6.0767,3.224,6.479,5.2123,8.4256,4.1356,5.8461,5.6124
wetlands.permutation.importance,0.4569,1.168,4.0971,1.2463,1.4003,3.473,1.6169,1.4124,1.9615,2.714,1.9546
woody_savannas.permutation.importance,12.5467,7.1635,6.8491,2.7258,7.2794,4.13,4.9704,3.5573,8.1908,8.2324,6.5645
Training.gain.without.barren_vegetation,2.4912,2.3918,2.6129,2.9003,2.3036,2.5296,2.7048,2.7212,2.4944,2.3003,2.545
Training.gain.without.closed_shrubland,2.5079,2.4976,2.7281,3.3941,2.3291,2.7231,2.7662,2.9848,2.5933,2.3712,2.6895
Training.gain.without.croplands,2.4465,2.4042,2.6431,2.8876,2.2801,2.5661,2.5717,2.6638,2.4375,2.317,2.5218
Training.gain.without.deciduous_broadleaf_forest,2.4397,2.41,2.5853,2.9814,2.266,2.5736,2.6159,2.7809,2.4815,2.3042,2.5438
Training.gain.without.deciduous_needleleaf_forest,2.4697,2.3691,2.5838,2.7496,2.271,2.496,2.6,2.3798,2.4388,2.2771,2.4635
Training.gain.without.evergreen_broadleaf_forest,2.5084,2.4969,2.7279,3.3994,2.3287,2.7237,2.7642,2.9924,2.5959,2.3715,2.6909
Training.gain.without.evergreen_needleleaf_forest,2.4522,2.4175,2.5936,3.2334,2.273,2.6324,2.6794,2.7929,2.5223,2.3163,2.5913
Training.gain.without.grasslands,2.4751,2.4531,2.6516,3.1852,2.2928,2.6556,2.6746,2.9517,2.5342,2.3501,2.6224
Training.gain.without.mixed_forests,2.4411,2.3951,2.6012,2.7734,2.2556,2.5027,2.4931,2.5935,2.4244,2.304,2.4784
Training.gain.without.open_shrublands,2.5043,2.477,2.7006,3.345,2.3146,2.6822,2.7291,2.9477,2.5683,2.3492,2.6618
Training.gain.without.precipitation_of_wettest_quarter.1,2.4283,2.4401,2.5888,3.1546,2.2383,2.646,2.6096,2.8381,2.501,2.2994,2.5744
Training.gain.without.precipitation_of_wettest_quarter.2,2.4692,2.4595,2.6791,3.3005,2.284,2.6784,2.7045,2.9169,2.5407,2.3369,2.637
Training.gain.without.precipitation_of_wettest_quarter.3,2.4568,2.4527,2.6643,3.3193,2.2832,2.6642,2.7313,2.93,2.5515,2.3148,2.6368
Training.gain.without.precipitation_of_wettest_quarter.4,2.4739,2.4266,2.6718,3.3303,2.2933,2.6777,2.7089,2.81,2.5308,2.3051,2.6228
Training.gain.without.savannas,2.5073,2.4306,2.6372,3.068,2.3298,2.5928,2.7651,2.8176,2.532,2.3238,2.6004
Training.gain.without.snow_ice,2.5033,2.4914,2.7242,3.3296,2.3238,2.7181,2.7625,2.99,2.5927,2.3675,2.6803
Training.gain.without.urban_areas,2.2364,2.1736,2.3076,2.4394,2.1163,2.2236,2.2407,2.1408,2.1639,2.0654,2.2108
Training.gain.without.wetlands,2.4861,2.4346,2.5493,3.1904,2.2794,2.5589,2.6647,2.8657,2.4686,2.3061,2.5804
Training.gain.without.woody_savannas,2.4439,2.4225,2.5866,3.3136,2.2556,2.6525,2.6775,2.8782,2.5378,2.3392,2.6107
Training.gain.with.only.barren_vegetation,0.4015,0.3768,0.3748,0.4004,0.3752,0.4048,0.39,0.402,0.3719,0.4056,0.3903
Training.gain.with.only.closed_shrubland,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056
Training.gain.with.only.croplands,0.7071,0.6534,0.6261,0.6715,0.5477,0.5993,0.6908,0.5903,0.6307,0.6062,0.6323
Training.gain.with.only.deciduous_broadleaf_forest,0.0043,0.005,0.0108,0.0108,0.0034,0.0037,0.0096,0.005,0.0037,0.0102,0.0067
Training.gain.with.only.deciduous_needleleaf_forest,0.0149,0.018,0.0099,0.0215,0.0149,0.0149,0.0067,0.026,0.0215,0.0215,0.017
Training.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Training.gain.with.only.evergreen_needleleaf_forest,0.3448,0.3693,0.3793,0.4614,0.3586,0.3068,0.3689,0.3792,0.348,0.3417,0.3658
Training.gain.with.only.grasslands,0.1952,0.1674,0.1927,0.1872,0.1544,0.176,0.2087,0.157,0.155,0.1579,0.1752
Training.gain.with.only.mixed_forests,1.0552,1.0353,0.9576,1.1093,0.9696,1.0327,0.9893,1.0179,0.9834,1.0107,1.0161
Training.gain.with.only.open_shrublands,0.272,0.272,0.2407,0.2578,0.2407,0.2891,0.2407,0.2578,0.2407,0.2578,0.2569
Training.gain.with.only.precipitation_of_wettest_quarter.1,0.8848,0.8532,0.8368,0.8616,0.8405,0.8214,0.8528,0.8302,0.7938,0.8116,0.8387
Training.gain.with.only.precipitation_of_wettest_quarter.2,0.2287,0.2061,0.1929,0.1996,0.2217,0.176,0.2044,0.1845,0.1812,0.1937,0.1989
Training.gain.with.only.precipitation_of_wettest_quarter.3,0.9195,0.9042,0.8471,0.8537,0.8613,0.8969,0.8534,0.8326,0.8124,0.8658,0.8647
Training.gain.with.only.precipitation_of_wettest_quarter.4,0.5041,0.5531,0.4913,0.4788,0.501,0.4794,0.4624,0.5171,0.4754,0.513,0.4976
Training.gain.with.only.savannas,0.0199,0.0199,0.0137,0.0199,0.0199,0.0137,0.0329,0.0137,0.0137,0.0137,0.0181
Training.gain.with.only.snow_ice,0.0048,6e-04,6e-04,0.0048,6e-04,0.0048,0.0048,0.0048,6e-04,0.0048,0.0031
Training.gain.with.only.urban_areas,0.6219,0.5794,0.6525,0.69,0.5373,0.5807,0.6322,0.6017,0.5928,0.5266,0.6015
Training.gain.with.only.wetlands,0.0637,0.0367,0.0344,0.0442,0.0462,0.0191,0.0576,0.0311,0.0374,0.0395,0.041
Training.gain.with.only.woody_savannas,0.1294,0.1885,0.1844,0.1896,0.1459,0.1721,0.1474,0.1634,0.1201,0.1559,0.1597
Test.gain.without.barren_vegetation,1.7635,2.6537,1.6832,0.7018,3.0601,2.3766,1.4905,1.5011,2.7476,2.7511,2.0729
Test.gain.without.closed_shrubland,1.9149,2.8919,1.972,-2.1747,3.1873,2.082,1.5232,1.0456,3.0443,3.0153,1.8502
Test.gain.without.croplands,1.6886,2.5061,1.6629,0.1952,2.9193,1.9341,1.5169,1.7325,2.6958,2.6748,1.9526
Test.gain.without.deciduous_broadleaf_forest,2.0512,2.7714,2.1422,0.1189,3.1943,2.1518,1.6554,1.3422,2.9145,2.9117,2.1254
Test.gain.without.deciduous_needleleaf_forest,1.6533,2.3652,1.6616,0.8286,2.8677,1.9839,1.5242,2.3405,2.4192,2.609,2.0253
Test.gain.without.evergreen_broadleaf_forest,1.9143,2.877,1.9751,-2.2355,3.1689,2.1357,1.5241,0.9395,3.0741,3.0049,1.8378
Test.gain.without.evergreen_needleleaf_forest,1.9881,2.7657,2.1583,-1.6991,3.0979,2.0309,1.5871,1.5351,2.8713,2.9502,1.9285
Test.gain.without.grasslands,2.0749,2.7621,2.1183,-0.32,3.1899,2.4291,1.8638,1.0163,3.021,2.9832,2.1139
Test.gain.without.mixed_forests,1.6872,2.4688,1.6623,0.5705,2.9331,2.0378,1.945,1.7213,2.5289,2.8203,2.0375
Test.gain.without.open_shrublands,1.9603,2.9065,2.0295,-1.7973,3.1948,2.5835,1.6787,1.2349,3.0859,3.1003,1.9977
Test.gain.without.precipitation_of_wettest_quarter.1,1.8145,2.7056,1.9898,-0.9978,3.1168,1.8485,1.7955,1.031,2.8656,2.9121,1.9082
Test.gain.without.precipitation_of_wettest_quarter.2,1.8725,2.7891,1.9887,-1.8113,3.1667,2.0919,1.5734,1.0526,3.0705,2.9291,1.8723
Test.gain.without.precipitation_of_wettest_quarter.3,1.9326,2.8954,2.0021,-2.0997,3.112,2.1876,1.4448,0.9476,3.0352,3.0204,1.8478
Test.gain.without.precipitation_of_wettest_quarter.4,1.8752,2.8962,1.9926,-2.2074,3.1187,2.1497,1.5182,1.6098,3.0231,2.9996,1.8976
Test.gain.without.savannas,1.9176,2.7663,1.8493,0.1981,3.1816,2.3849,1.552,1.467,2.8891,2.9103,2.1116
Test.gain.without.snow_ice,1.9803,2.9034,2.0131,-1.617,3.1806,2.1555,1.568,1.0001,3.0512,3.0173,1.9252
Test.gain.without.urban_areas,1.5939,2.0551,1.4368,0.841,2.4174,1.8287,1.6898,2.2794,2.2477,2.4484,1.8838
Test.gain.without.wetlands,1.929,2.6864,2.3211,-1.8594,3.0555,2.5274,1.4532,1.1048,3.0004,2.9239,1.9142
Test.gain.without.woody_savannas,1.9964,2.8212,2.3418,-2.4684,3.2106,1.9934,1.4535,1.1373,2.9571,2.8566,1.8299
Test.gain.with.only.barren_vegetation,0.2799,0.4006,0.4026,0.2872,0.4031,0.2792,0.3533,0.2845,0.4227,0.2663,0.3379
Test.gain.with.only.closed_shrubland,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109
Test.gain.with.only.croplands,0.2631,0.5076,0.6058,0.3974,0.9044,0.693,0.314,0.7437,0.5821,0.6917,0.5703
Test.gain.with.only.deciduous_broadleaf_forest,0.0056,-0.0021,-0.0337,-0.0337,0.01,0.009,-0.0222,-0.0021,0.009,-0.0275,-0.0088
Test.gain.with.only.deciduous_needleleaf_forest,0.0359,0.023,0.0504,0.0055,0.0359,0.0359,0.0425,-0.0225,0.0055,0.0055,0.0218
Test.gain.with.only.evergreen_broadleaf_forest,0,0,0,0,0,0,0,0,0,0,0
Test.gain.with.only.evergreen_needleleaf_forest,0.5112,0.4072,0.3671,0.0016,0.4516,0.5858,0.4055,0.3685,0.4454,0.5146,0.4058
Test.gain.with.only.grasslands,-0.0469,0.1691,0.0415,0.0562,0.2136,0.1221,-0.0704,0.2014,0.2124,0.1992,0.1098
