,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,4685,4685,4685,4685,4685,4685,4685,4685,4685,4685,4685
Regularized.training.gain,294.0545,501.5735,27730.63,154237200,633733.4,111190.7,415.5185,407412.9,456.8399,2001064,15742000
Unregularized.training.gain,502.6744,971.2993,48906.34,262780100,1060236,201483.4,677.465,756801.8,778.7764,4065389,26891590
Iterations,10000,10000,420,360,2140,7620,10000,2940,10000,3900,5738
Training.AUC,0.9394,0.942,0.528,0.958,0.5311,0.5131,0.9457,0.5065,0.939,0.5055,0.7308
X.Test.samples,1171,1171,1171,1171,1171,1171,1171,1171,1171,1171,1171
Test.gain,594.7812,2142.363,61986.41,353923500,1227807,109480.4,651.8646,250951.7,1060.407,2402140,35798030
Test.AUC,0.9376,0.9437,0.5242,0.953,0.5311,0.5119,0.947,0.5042,0.9345,0.5046,0.7292
AUC.Standard.Deviation,0.0032,0.0031,0.0032,0.0028,0.0036,0.0022,0.0029,0.0013,0.0034,0.0014,0.0027
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,0.2703,0.2847,7e-04,0,0.0304,2e-04,0.8361,1.1586,0.0077,0,0.2589
closed_shrubland.contribution,0.0622,0.0096,0,0,0,0,0.0044,0,5e-04,0,0.0077
croplands.contribution,1.7057,0.5959,1.7712,0,0.0233,10.2706,8.4999,4.1556,42.8177,4.5076,7.4347
deciduous_broadleaf_forest.contribution,0.1854,0.0324,0.0801,0,0.0268,6.2364,0.0374,1e-04,0.0076,0.4133,0.7019
deciduous_needleleaf_forest.contribution,0.0065,0.0153,0,0,0.0127,0,0.0022,0,0.0019,0,0.0039
evergreen_broadleaf_forest.contribution,0.0265,0.0043,0,0,0,1e-04,9e-04,0,2e-04,0,0.0032
evergreen_needleleaf_forest.contribution,1.9389,0.0554,0.2085,0,0.0166,1.5554,2.8144,6.8865,0.7379,0.002,1.4216
grasslands.contribution,2.5889,0.0705,0.0325,0,0.0299,4.3356,2.6977,2.4878,0.7082,7.1741,2.0125
mixed_forests.contribution,3.392,0.1432,3.316,0,0.0108,6.042,12.5684,5.1231,3.5047,7.0335,4.1134
open_shrublands.contribution,2.0283,1.2096,2e-04,0,0.0048,2.2969,2.4263,2.613,0.0083,17.4002,2.7988
precipitation_of_wettest_quarter.1.contribution,0.1094,0.1804,2e-04,0,0.1119,0.0051,0.0815,3e-04,0.0095,0,0.0498
precipitation_of_wettest_quarter.2.contribution,1.2256,12.2931,0.5885,0,0.2672,3.0326,4.0713,0.9877,17.3673,2.6904,4.2524
precipitation_of_wettest_quarter.3.contribution,50.0141,37.1139,34.5903,55.0027,41.4491,38.0335,26.4661,47.9617,24.2934,44.8182,39.9743
precipitation_of_wettest_quarter.4.contribution,1.052,0.2067,3.1468,0,21.8076,2.382,8.4145,4.5137,2.1996,5.8354,4.9558
savannas.contribution,0.0032,7e-04,0.113,0,0,0,0.001,0,6e-04,0.0386,0.0157
snow_ice.contribution,0.002,0.0073,0,0,0,1.0134,0.6038,1.3595,0.1573,4e-04,0.3144
urban_areas.contribution,34.8044,47.5912,46.3007,44.9973,35.4717,22.4395,30.3077,22.5138,8.1348,9.4047,30.1966
wetlands.contribution,0.0186,0.1333,0,0,0,0,0.0026,0,0.0012,0,0.0156
