,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,119,119,119,119,119,119,119,119,119,119,119
Regularized.training.gain,2468812,964491.2,1146775,56.947,194.1812,16389.95,1236.108,1865.677,140855400,418049700,56350490
Unregularized.training.gain,3079983,1271546,2558953,122.4521,359.7482,23332.84,2179.823,3190.604,189670700,570978300,76758870
Iterations,5620,2080,360,10000,10000,400,10000,10000,360,4620,5344
Training.AUC,0.5206,0.5168,0.7101,0.9879,0.9911,0.9722,0.9629,0.9501,0.5966,0.521,0.7729
X.Test.samples,29,29,29,29,29,29,29,29,29,29,29
Test.gain,-3931259,75289.48,96150.1,121.1063,11.624,-59149.04,1290.675,5711.278,-111179000,-79133550,-19412440
Test.AUC,0.4996,0.5172,0.6034,0.9595,0.9886,0.8564,0.8849,0.9172,0.5689,0.5,0.7296
AUC.Standard.Deviation,1e-04,0.0169,0.0376,0.0162,0.0044,0.0528,0.0468,0.0363,0.032,0,0.0243
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,1e-04,0.1694,3.0096,1e-04,0,0,1e-04,3e-04,0,0,0.318
annual_precipitation.contribution,2e-04,0,0.9343,0.0249,0.0249,0.0247,0.0248,0.025,0.9356,0.1637,0.2158
barren_vegetation.contribution,5.4273,3.1869,0.5281,2e-04,1e-04,0.0752,0.0013,0.0044,6.7783,0,1.6002
closed_shrubland.contribution,0,1e-04,0.9577,1e-04,5e-04,0.016,0.0151,0.0151,3e-04,1e-04,0.1005
croplands.contribution,5e-04,0.1348,2.0624,0.0495,0.05,0.0492,0.0493,0.0496,14.07,0.1356,1.6651
deciduous_broadleaf_forest.contribution,2e-04,0,0,1e-04,1e-04,1e-04,1e-04,2e-04,0.453,0.124,0.0578
deciduous_needleleaf_forest.contribution,0,0.0024,0.5751,0.003,0.0039,0.0039,0.0039,0.004,1e-04,0,0.0596
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,1e-04,0.1725,1.7587,0.0123,0.0122,0.0122,0.0122,0.0128,0.411,1e-04,0.2404
grasslands.contribution,2.3144,0.3831,0.8488,0.0477,0.0477,0.0473,0.049,0.0494,0.4127,2e-04,0.42
mixed_forests.contribution,1e-04,0.0758,4.6667,0.0092,0.0093,0.0091,0.0092,0.0188,0.793,0.033,0.5624
open_shrublands.contribution,1.6959,0.118,0.8315,0.1164,0.1164,0.1156,0.1159,0.1171,1.0611,0.0014,0.4289
precipitation_seasonality.contribution,2e-04,0.8819,0.8417,1e-04,0,0,1e-04,0.0175,1.4645,0.0113,0.3217
savannas.contribution,19.85,21.006,17.0139,23.7972,23.7957,23.8255,23.8789,23.8758,7.4688,16.902,20.1414
snow_ice.contribution,38.9549,41.1207,35.1026,49.897,49.8967,49.7644,49.8756,49.8742,26.3258,44.4956,43.5308
temperature_seasonality.contribution,12.131,6.2049,2.196,1e-04,1e-04,0,1e-04,0.0101,0.5461,10.6599,3.1748
urban_areas.contribution,1e-04,1e-04,0.1786,0.0056,0.0056,0.0056,0.0056,0.0064,14.0017,0.0355,1.4245
wetlands.contribution,19.6246,26.0207,28.4332,26.0363,26.0365,26.051,25.9586,25.9186,24.9942,27.4377,25.6511
woody_savannas.contribution,3e-04,0.5228,0.061,2e-04,2e-04,2e-04,2e-04,6e-04,0.2837,0,0.0869
annual_mean_temperature.permutation.importance,0.1344,0.687,10.8877,23.3211,32.5497,9.9509,25.2656,18.7634,0,0,12.156
annual_precipitation.permutation.importance,0,0,7.1445,10.878,8.383,2.3628,13.3717,2.4011,3.6696,0,4.8211
barren_vegetation.permutation.importance,0.2746,0,11.5254,14.3567,23.6933,55.2441,14.861,10.5564,9.485,0,13.9997
closed_shrubland.permutation.importance,0,0,1.2983,0.746,0.1116,0.0817,0.8394,0,0,0,0.3077
