,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,168,168,168,168,168,168,168,168,168,168,168
Regularized.training.gain,31.0003,39.5483,26.565,33.2855,13.5051,7.2394,79.759,9.0359,54.8998,51.7455,34.6584
Unregularized.training.gain,42.9576,48.3271,42.6367,40.7622,15.4894,10.1116,92.9693,10.5406,62.4271,59.3061,42.5528
Iterations,10000,5220,10000,10000,4040,7940,10000,4820,3260,4340,6962
Training.AUC,0.9896,0.9916,0.9912,0.9901,0.9918,0.9912,0.9897,0.9923,0.9915,0.9914,0.991
X.Test.samples,41,41,41,41,41,41,41,41,41,41,41
Test.gain,58.5322,98.5519,262.2397,3.3458,3.5364,11.311,4.2764,4.0093,4.0268,3.8088,45.3638
Test.AUC,0.965,0.9903,0.9701,0.9825,0.9845,0.9817,0.9919,0.9849,0.9904,0.9868,0.9828
AUC.Standard.Deviation,0.0234,0.0029,0.0186,0.0056,0.004,0.006,0.0025,0.0038,0.0022,0.0029,0.0072
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,0.7148,0.43,0.4674,0.2651,0.3713,0.3755,0.2796,0.2722,0.1993,0.1636,0.3539
annual_precipitation.contribution,2.199,0.951,0.7691,0.6064,0.6139,0.6808,0.3896,0.3909,0.3013,0.2274,0.7129
barren_vegetation.contribution,14.19,15.2803,15.3083,13.4602,15.6684,15.5601,15.5217,15.4798,15.4425,15.4069,15.1318
closed_shrubland.contribution,0.0471,0.0122,0.0159,0.0143,0.0309,0.015,0.0101,0.0097,0.0091,0.0073,0.0172
croplands.contribution,1.5609,1.2035,4.8099,0.9752,1.2464,1.1166,0.6998,0.6551,0.5536,0.4679,1.3289
deciduous_broadleaf_forest.contribution,42.6942,46.0788,44.6569,39.4755,46.3664,46.041,47.7037,47.6895,48.1108,48.3536,45.717
deciduous_needleleaf_forest.contribution,0.0274,0.0125,0.0165,0.033,0.0392,0.0383,0.0236,0.0239,0.0226,0.0155,0.0253
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,2.547,0.8664,0.8054,0.6774,0.8988,0.6754,0.5405,0.391,0.415,0.3657,0.8183
grasslands.contribution,0.7684,0.3657,0.2274,0.312,0.3282,0.4829,0.2804,0.3336,0.2641,0.234,0.3597
mixed_forests.contribution,0.5754,0.4308,0.2605,0.3402,0.4446,0.4845,0.2998,0.3185,0.265,0.2409,0.366
open_shrublands.contribution,1.1077,0.5378,0.5529,0.2967,0.5481,0.6262,0.3865,0.4335,0.3906,0.3328,0.5213
precipitation_seasonality.contribution,0.0834,0.0243,0.0341,0.0517,0.0329,0.05,0.0222,0.0249,0.0294,0.0189,0.0372
savannas.contribution,0.0668,0.034,0.0455,0.0659,0.0947,0.0999,0.0612,0.0651,0.0566,0.0567,0.0646
snow_ice.contribution,28.6343,31.0808,29.7582,26.3293,31.0819,30.839,32.4102,32.4247,32.8635,33.112,30.8534
temperature_seasonality.contribution,1.5838,0.8121,0.7169,0.6462,0.6459,0.616,0.4098,0.4023,0.3163,0.2919,0.6441
urban_areas.contribution,1.0863,0.5279,0.5938,15.6611,0.6731,1.3739,0.4762,0.4731,0.3769,0.3393,2.1582
wetlands.contribution,0.1149,0.2433,0.1702,0.1578,0.1713,0.1671,0.1138,0.0974,0.0858,0.0732,0.1395
woody_savannas.contribution,1.9984,1.1087,0.791,0.6321,0.7442,0.7579,0.3714,0.5149,0.2975,0.2924,0.7509
annual_mean_temperature.permutation.importance,46.4438,59.1579,44.066,33.5562,64.2943,38.256,47.5457,60.6297,65.9421,56.8096,51.6701
annual_precipitation.permutation.importance,4.7575,5.0631,5.1709,4.4619,7.5886,5.3676,7.7326,5.39,4.658,2.9533,5.3144
barren_vegetation.permutation.importance,4.3503,4.6778,5.1405,5.455,3.4021,8.7234,1.5214,3.6777,2.771,5.1014,4.4821
closed_shrubland.permutation.importance,7e-04,0.0404,0.0318,0.0356,0.0112,0,0.0594,0.0317,0.0252,0.0106,0.0247
croplands.permutation.importance,6.4719,1.3437,10.1838,16.3212,1.5749,4.4655,9.9806,1.4713,1.2198,2.7507,5.5783
deciduous_broadleaf_forest.permutation.importance,1.0775,1.1122,1.0307,3.1417,0.9072,1.3079,1.2183,1.0987,1.0261,0.9647,1.2885
deciduous_needleleaf_forest.permutation.importance,0.0765,0.0615,0.0488,0.0476,0.0606,0.0538,0.0873,0.0442,0.041,0,0.0521
evergreen_broadleaf_forest.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.permutation.importance,0.8746,0.8227,0.9655,1.4105,0.8706,1.3371,0.8623,0.9918,0.9904,1.2551,1.0381
grasslands.permutation.importance,2.2324,0.5293,1.2159,2.8877,0.5541,2.6844,3.2402,0.4243,0.3727,1.3114,1.5452
mixed_forests.permutation.importance,2.2095,1.399,1.8922,1.8068,1.5982,1.5655,1.5637,1.2712,1.8928,3.6758,1.8875
open_shrublands.permutation.importance,0.9783,1.1144,1.4745,2.1498,0.9611,2.6884,1.3385,1.1149,1.1515,2.0522,1.5024
precipitation_seasonality.permutation.importance,0.7684,3.8128,1.3986,2.8734,1.1376,4.2071,2.4401,2.0137,1.486,2.6126,2.275
savannas.permutation.importance,0.63,0.7521,0.7574,0.9914,0.5773,0.9888,0.8108,0.8532,0.7506,0.6218,0.7733
snow_ice.permutation.importance,0.7071,0.6105,0.873,0.9075,0.991,0.7366,1.6279,0.7306,1.009,1.0624,0.9256
temperature_seasonality.permutation.importance,18.6537,16.9525,17.9741,16.3629,13.2141,22.1616,15.4866,17.2381,15.1571,15.9077,16.9108
urban_areas.permutation.importance,7.1564,0.7357,5.9686,5.5323,0.3384,2.5487,2.9987,0.9673,0.1249,0.7429,2.7114
wetlands.permutation.importance,0.2805,0.3645,0.1414,0.1462,0.1907,0.12,0.385,0.2349,0.2164,0.3956,0.2475
woody_savannas.permutation.importance,2.331,1.4499,1.6663,1.9123,1.7282,2.7877,1.101,1.8167,1.1654,1.7723,1.7731
Training.gain.without.annual_mean_temperature,187110000,91.9081,14.4255,257259.3,38669.09,7.0082,260662,74.0822,50.9247,20.772,18766680
Training.gain.without.annual_precipitation,27.744,85.847,9.1822,68.6196,26.9926,516.2992,1017594.2912,156.4577,3378501.6028,17.575,439700.4611
Training.gain.without.barren_vegetation,313995.5903,48.322,37.6916,177.3741,34.086,50.8224,9567636.6308,13.8715,87.2522,22.1224,988210.3763
Training.gain.without.closed_shrubland,22.8855,37.3726,12.3556,57.8628,683.9892,23.2221,12.6107,778970.0962,87.9831,42.8797,77995.1258
Training.gain.without.croplands,27.4814,27.625,7.0157,56.7277,2439064.0232,7.1348,54.328,271.777,74.5659,35.6523,243962.6331
Training.gain.without.deciduous_broadleaf_forest,5.2558,3.9151,4.326,4.224,3.9976,4.1615,4.0163,4.0372,3.8315,4.0594,4.1824
Training.gain.without.deciduous_needleleaf_forest,8.8312,27.1308,14.8128,141.2207,10925.779,10.2018,9514284.7333,71.3226,68.0412,37.9808,952559.0054
Training.gain.without.evergreen_broadleaf_forest,9.12,50.4952,15.625,91.2616,40880.41,10.4899,14494260,71.2966,64.554,184.5766,1453564
