,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,3007,3007,3007,3007,3007,3007,3007,3007,3007,3007,3007
Regularized.training.gain,1.8435,1.8534,1.8556,1.8521,1.8468,1.8491,1.8621,1.8757,1.8435,1.8459,1.8528
Unregularized.training.gain,1.9307,1.9457,1.9511,1.9409,1.9371,1.9377,1.9527,1.9692,1.9317,1.9371,1.9434
Iterations,1220,1620,1520,1500,1460,1340,1160,1420,1420,1140,1380
Training.AUC,0.9429,0.9435,0.944,0.9436,0.9432,0.9436,0.9438,0.9449,0.9434,0.9435,0.9436
X.Test.samples,751,751,751,751,751,751,751,751,751,751,751
Test.gain,1.9517,1.9256,1.9116,1.9276,1.945,1.9379,1.8831,1.8375,1.958,1.9486,1.9227
Test.AUC,0.9453,0.9435,0.942,0.9436,0.945,0.9436,0.9421,0.9378,0.9442,0.944,0.9431
AUC.Standard.Deviation,0.003,0.003,0.0032,0.0031,0.0029,0.003,0.003,0.0032,0.003,0.003,0.003
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,6.2953,6.0124,5.2231,5.4454,5.3313,5.621,5.1187,5.0804,5.5173,5.5225,5.5167
closed_shrubland.contribution,0.1285,0.1539,0.1314,0.0388,0.0834,0.1552,0.0613,0.1016,0.0948,0.0229,0.0972
croplands.contribution,1.0161,1.332,1.1888,1.7889,1.7663,1.7574,1.8665,2.0096,2.1465,2.4548,1.7327
deciduous_broadleaf_forest.contribution,1.1233,1.1372,1.0686,1.0932,1.0193,0.9274,0.912,0.9405,0.9496,0.9957,1.0167
deciduous_needleleaf_forest.contribution,0.0019,6e-04,0.0042,1e-04,0.0023,0.0019,2e-04,0.0043,0.0045,6e-04,0.0021
evergreen_broadleaf_forest.contribution,0.0315,0.0183,0.0307,0.0212,0.0259,0.0126,0.02,0.0099,0.0132,0.0164,0.02
evergreen_needleleaf_forest.contribution,1.8283,2.1223,2.1879,2.8533,2.8084,4.3929,4.2725,4.9171,5.6264,5.8184,3.6827
grasslands.contribution,1.0184,0.9557,1.2294,0.9897,1.1226,1.5757,1.3875,1.8722,2.2232,2.4054,1.478
mixed_forests.contribution,28.4244,27.1559,26.3704,26.2252,24.4284,22.864,22.18,21.6975,20.4908,19.5047,23.9341
open_shrublands.contribution,0.2648,0.2871,0.4047,0.5387,0.6426,0.7275,0.9028,1.0251,1.1387,1.1372,0.7069
precipitation_of_wettest_quarter.1.contribution,13.1795,13.5798,11.9662,12.4477,10.9782,10.03,9.7546,9.3696,9.141,9.5179,10.9964
