,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,237,237,237,237,237,237,237,237,237,237,237
Regularized.training.gain,2.5509,2.5872,2.6118,2.5718,2.6702,2.637,2.574,2.6477,2.6075,2.6005,2.6059
Unregularized.training.gain,3.0174,3.107,3.1398,3.0023,3.1618,3.1463,3.1408,3.162,3.1313,3.0886,3.1097
Iterations,2540,2520,2240,2480,2820,2300,3040,2240,2420,2540,2514
Training.AUC,0.9721,0.9744,0.9743,0.9741,0.9781,0.9768,0.9751,0.9755,0.9752,0.9739,0.9749
X.Test.samples,59,59,59,59,59,59,59,59,59,59,59
Test.gain,2.8072,2.7213,2.4834,2.5937,2.3442,2.398,2.6637,2.308,2.5196,2.654,2.5493
Test.AUC,0.9776,0.9667,0.9643,0.9638,0.9414,0.9372,0.9623,0.9484,0.9584,0.962,0.9582
AUC.Standard.Deviation,0.004,0.0106,0.0108,0.01,0.0185,0.0215,0.011,0.0143,0.0118,0.0123,0.0125
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
barren_vegetation.contribution,0.848,2.8053,2.5869,3.4024,3.2213,3.2577,3.095,3.5257,3.6569,3.9541,3.0353
closed_shrubland.contribution,0.3523,0.6112,0.9351,0.8996,0.9281,1.1185,1.2955,1.3059,1.4774,1.5262,1.045
croplands.contribution,2.5651,3.3698,4.2497,4.1132,5.1723,5.2853,6.2748,5.2195,5.1672,6.5234,4.794
deciduous_broadleaf_forest.contribution,0.6689,1.0114,1.2857,1.3045,1.4035,1.7756,2.0022,2.176,2.3233,2.3555,1.6307
deciduous_needleleaf_forest.contribution,0.0335,0,0,0,0.0242,0,0.0204,0.0226,0.0056,0.0301,0.0136
evergreen_broadleaf_forest.contribution,0.0515,0.0528,0,0,0.0424,0.0332,0.0292,0.0334,0,0.0381,0.0281
evergreen_needleleaf_forest.contribution,1.2797,1.5703,1.3299,2.0677,2.2535,2.4253,2.4125,2.5349,2.3905,2.6006,2.0865
grasslands.contribution,31.5373,35.0443,32.3835,33.2065,32.9141,30.1175,31.3829,31.71,30.739,30.9984,32.0033
mixed_forests.contribution,3.7456,3.5129,2.9459,4.3589,4.4566,4.6429,4.4428,4.8859,4.4582,5.0437,4.2493
open_shrublands.contribution,1.4958,2.718,3.738,4.8648,4.6739,5.0504,5.626,6.21,6.5863,6.8188,4.7782
precipitation_of_wettest_quarter.1.contribution,8.8672,7.7284,6.8852,6.472,6.12,6.9296,6.057,5.8875,6.2573,5.2476,6.6452
precipitation_of_wettest_quarter.2.contribution,13.7357,15.3199,11.2278,13.0692,11.375,9.0151,10.2979,9.6884,10.0526,9.8125,11.3594
precipitation_of_wettest_quarter.3.contribution,19.1683,12.9397,14.3786,12.1996,13.934,12.5697,11.5948,10.1954,10.1582,8.7439,12.5882
precipitation_of_wettest_quarter.4.contribution,8.4857,6.9817,9.3637,6.8774,6.4732,9.906,8.111,8.7,8.0283,8.2238,8.1151
savannas.contribution,1.4038,0.9852,1.4436,0.8096,0.7933,0.9651,0.7542,0.7433,0.6886,0.6404,0.9227
snow_ice.contribution,1.7036,1.8808,1.8641,1.9214,1.7646,1.6756,1.5644,1.3445,1.5914,1.5548,1.6865
urban_areas.contribution,0.558,0.8176,0.9692,1.3015,1.4569,1.5078,1.6721,1.7181,1.7655,1.8379,1.3605
wetlands.contribution,2.4898,1.2628,2.4286,1.4081,0.9206,1.075,0.4256,1.1079,1.4389,0.7558,1.3313
