,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species (average)
X.Training.samples,240,240,240,240,240,240,240,240,240,240,240
Regularized.training.gain,2.901,2.86,2.8265,26.7364,2.8577,10.5506,2.864,53043760,3.1362,2.8532,5304382
Unregularized.training.gain,3.5915,3.4373,3.4223,171.0354,3.5253,56.924,3.4562,380826600,4.1065,3.4595,38082690
Iterations,4440,4340,3740,10000,4220,10000,3920,2920,4640,3380,5160
Training.AUC,0.9613,0.9654,0.9617,0.9699,0.9594,0.9606,0.9666,0.5061,0.9495,0.9622,0.9163
X.Test.samples,59,59,59,59,59,59,59,59,59,59,59
Test.gain,2.8107,2.9924,3.1146,3.0175,3.0361,2.6989,3.0057,-443497.2293,1.4003,2.9478,-44347.2205
Test.AUC,0.949,0.9549,0.9474,0.9533,0.965,0.9562,0.9474,0.4998,0.8909,0.9456,0.901
AUC.Standard.Deviation,0.0103,0.008,0.0106,0.0079,0.0056,0.0098,0.01,1e-04,0.0253,0.0113,0.0099
X.Background.points,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
annual_mean_temperature.contribution,12.4656,11.076,8.8279,1.1534,1.223,0.936,0.84,0,0,0,3.6522
annual_precipitation.contribution,3.493,2.028,5.3278,1.3273,0.9693,0.8201,0.74,0,0,0,1.4706
barren_vegetation.contribution,11.5499,10.8068,9.4882,1.6545,1.5294,1.3401,1.2961,0,0,0,3.7665
closed_shrubland.contribution,1.1362,1.7431,1.9942,0.5247,0.4579,0.3689,0.4342,0.0026,0,0,0.6662
croplands.contribution,2.3134,2.9462,3.7798,24.5553,24.7572,24.9169,24.5914,15.5728,17.9126,17.9126,15.9258
deciduous_broadleaf_forest.contribution,0.3939,0.4332,0.3568,0.7448,0.1013,0.1179,0.1163,8e-04,0.001,0.001,0.2267
deciduous_needleleaf_forest.contribution,2e-04,5e-04,4e-04,1e-04,1e-04,0.0023,0.0022,0,0,0,6e-04
evergreen_broadleaf_forest.contribution,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.contribution,0.818,0.6923,0.4042,0.168,0.1924,0.1656,0.2174,12.5402,0.0921,0.0921,1.5382
grasslands.contribution,20.0261,24.6054,27.6452,5.628,6.4812,5.9325,6.7875,0.0127,0.0146,0.0146,9.7148
mixed_forests.contribution,1.882,2.2429,2.0005,0.8613,0.7937,0.7261,0.736,0.6043,0.0157,0.0157,0.9878
open_shrublands.contribution,1.3235,1.1284,1.372,0.572,0.3439,0.3914,0.4151,0,0,0,0.5546
precipitation_seasonality.contribution,3.1727,3.9986,4.4844,0.8083,0.5874,0.6498,0.6825,0,0,0,1.4384
savannas.contribution,0.132,0.0297,0.0603,0.0385,0.0155,0.0104,0.013,0,0,0,0.0299
snow_ice.contribution,0,0,0,0,0,0,0,0,0,0,0
temperature_seasonality.contribution,27.398,21.0206,14.8076,2.3954,2.267,1.8037,1.9864,0,0,0,7.1679
urban_areas.contribution,11.7198,14.8034,16.1553,19.1341,19.5548,20.3547,20.3083,27.8417,32.0248,32.0248,21.3922
wetlands.contribution,0.2248,0.1916,0.2814,39.6201,39.8951,40.7007,39.9709,43.4157,49.9373,49.9373,30.4175
woody_savannas.contribution,1.9508,2.2531,3.014,0.8142,0.8306,0.7628,0.8626,0.0092,0.002,0.002,1.0501
annual_mean_temperature.permutation.importance,28.6581,27.0863,31.5539,28.1022,25.2755,25.3261,28.7159,0.0045,28.1431,23.3289,24.6195
annual_precipitation.permutation.importance,0.9989,1.9608,1.058,1.8504,2.9324,1.6748,2.1891,0,0.321,0.5962,1.3582
barren_vegetation.permutation.importance,1.6425,0.6153,3.6729,0.5026,0.0442,5.6856,2.1715,0,6.6526,0.8741,2.1861
closed_shrubland.permutation.importance,0.1018,0.0988,0.092,0.1531,0.0867,0.0497,0.1106,0,0.0336,0.0511,0.0777
croplands.permutation.importance,4.1235,1.6899,2.5803,1.6104,1.2473,2.5825,2.4335,0.3578,0.8283,3.8637,2.1317
deciduous_broadleaf_forest.permutation.importance,0.2681,0.2623,0.2109,0.2603,0.2881,0.1772,0.1316,0,0.2698,0.4184,0.2287
deciduous_needleleaf_forest.permutation.importance,0,0,0,0,5e-04,3e-04,0,0,0,0,1e-04
evergreen_broadleaf_forest.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
evergreen_needleleaf_forest.permutation.importance,0.7239,1.3648,0.2521,0.6166,0.1584,0.6247,1.3206,0,0.4721,0.5443,0.6078
grasslands.permutation.importance,12.2931,12.992,10.3962,10.4415,14.3265,6.181,10.3036,1.0778,7.9208,16.2022,10.2135
mixed_forests.permutation.importance,3.1709,1.6759,2.9124,1.6063,2.9088,2.5233,1.783,0,2.1296,2.3017,2.1012
open_shrublands.permutation.importance,0.1549,0.2239,1.088,0.4144,1.1723,0.1796,0.2735,0,0.0541,1.0822,0.4643
precipitation_seasonality.permutation.importance,6.7837,7.8327,6.4139,7.3281,8.539,7.2544,7.0189,0,10.0166,7.1889,6.8376
savannas.permutation.importance,0,0,0,0.0212,0,0.0112,0.004,0,0,0,0.0036
snow_ice.permutation.importance,0,0,0,0,0,0,0,0,0,0,0
temperature_seasonality.permutation.importance,34.2492,38.1527,33.1129,33.8566,36.2011,35.8341,36.1839,0.0045,41.0794,35.7321,32.4406
urban_areas.permutation.importance,2.6945,3.4856,2.8184,6.8375,3.3966,5.6767,3.59,47.9599,0,4.1669,8.0626
wetlands.permutation.importance,0.6467,0.0406,0.4667,3.6257,0,4.5666,0.604,31.9733,0.0142,0.2826,4.222
woody_savannas.permutation.importance,3.4903,2.5183,3.3712,2.7732,3.4225,1.6523,3.1662,18.6223,2.0647,3.3667,4.4448
Training.gain.without.annual_mean_temperature,2.6433,2.6402,2.5266,21.19,2.5944,59.0025,2.6235,7.4811,2.8162,2.5971,10.6115
